Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2014,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,56644,56644
2015,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Non-Discretionary Services & Supplies,Services & Supplies,Information Technology Services,58343,58343
2013,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,79725,79450
2014,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,80975,80975
2013,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,86297,86297
2015,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 1 Contributions,88665,88665
2015,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,95000,95000
2013,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,96502,96172
2014,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,97661,97661
2015,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Social Security Contributions,98597,98597
2014,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Non-Discretionary Services & Supplies,Services & Supplies,BMD Space Rental,101000,101000
2013,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,134825,134826
2014,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,141566,141566
2015,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Hlth Ins Contributions,146322,146322
2013,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,300404,299366
2014,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,309428,309428
2015,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Retire Tier 2 Contributions,343007,343007
2013,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,1638311,1519785
2014,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,1699147,1699147
2015,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,1715959,1715959
2015,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,6536500,6536500
2014,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,7964000,7964000
2013,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,9123011,9123011
2015,Public Protection,District Attorney,District Attorney,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-900914,-900914
2014,Public Protection,District Attorney,District Attorney,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-832846,-832846
2013,Public Protection,District Attorney,District Attorney,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-817597,-817597
2015,Public Protection,District Attorney,District Attorney,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,977015,981935
2014,Public Protection,District Attorney,District Attorney,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1018098,1086156
2013,Public Protection,District Attorney,District Attorney,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1146423,1146423
2013,Public Protection,District Attorney,District Attorney,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4321881,4321881
2014,Public Protection,District Attorney,District Attorney,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4366274,4372691
2015,Public Protection,District Attorney,District Attorney,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4637651,4693302
2013,Public Protection,District Attorney,District Attorney,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,47550042,47584636
2014,Public Protection,District Attorney,District Attorney,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,48476059,48961293
2015,Public Protection,District Attorney,District Attorney,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,52133889,51893776
2014,Public Protection,District Attorney,District Attorney Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,26690,26690
2014,Public Protection,District Attorney,District Attorney Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,222471,222471
2013,Public Protection,District Attorney,District Attorney Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,253656,253656
2015,Public Protection,District Attorney,District Attorney Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,311961,311961
2014,Public Protection,District Attorney,District Attorney Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,4688687,4688687
2013,Public Protection,District Attorney,District Attorney Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,5039496,5039496
2015,Public Protection,District Attorney,District Attorney Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,5073488,5073488
2014,Public Protection,District Attorney,District Attorney Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1250000,1250000
2015,Public Protection,District Attorney,District Attorney Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1250000,1250000
2013,Public Protection,District Attorney,Family Justice Center,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,161356,161356
2014,Public Protection,District Attorney,Family Justice Center,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,336398,336398
2015,Public Protection,District Attorney,Family Justice Center,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,336398,336398
2014,Public Protection,District Attorney,Family Justice Center,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,354641,354641
2015,Public Protection,District Attorney,Family Justice Center,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,379133,379641
2013,Public Protection,District Attorney,Family Justice Center,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,381867,381867
2015,Public Protection,District Attorney,Family Justice Center,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,427670,427670
2013,Public Protection,District Attorney,Family Justice Center,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,468726,560716
2014,Public Protection,District Attorney,Family Justice Center,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,480404,480404
2015,Public Protection,District Attorney,Grand Jury,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,48773,49021
2013,Public Protection,District Attorney,Grand Jury,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,55129,55129
2014,Public Protection,District Attorney,Grand Jury,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,55257,55257
2015,Public Protection,District Attorney,Grand Jury,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,64238,64238
2013,Public Protection,District Attorney,Grand Jury,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,64238,64238
2014,Public Protection,District Attorney,Grand Jury,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,64238,64238
2013,Public Protection,District Attorney,Grand Jury,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,326885,326885
2014,Public Protection,District Attorney,Grand Jury,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,329170,329170
2015,Public Protection,District Attorney,Grand Jury,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,350207,350207
2013,Public Protection,District Attorney,Welfare Fraud Investigation,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2200000,-2200000
2014,Public Protection,District Attorney,Welfare Fraud Investigation,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2024705,-2024705
2015,Public Protection,District Attorney,Welfare Fraud Investigation,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2000000,-2000000
2015,Public Protection,District Attorney,Welfare Fraud Investigation,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,56571,56571
2014,Public Protection,District Attorney,Welfare Fraud Investigation,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,56571,56571
2013,Public Protection,District Attorney,Welfare Fraud Investigation,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,56571,56571
2015,Public Protection,District Attorney,Welfare Fraud Investigation,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,214457,217144
2014,Public Protection,District Attorney,Welfare Fraud Investigation,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,216944,216944
2013,Public Protection,District Attorney,Welfare Fraud Investigation,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,241767,241767
2014,Public Protection,District Attorney,Welfare Fraud Investigation,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2213212,2213212
2013,Public Protection,District Attorney,Welfare Fraud Investigation,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2228365,2101781
2015,Public Protection,District Attorney,Welfare Fraud Investigation,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2443618,2443618
2015,Public Protection,Information Technology Department,CORPUS Realignment,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1290500,1290500
2014,Public Protection,Information Technology Department,CORPUS Realignment,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1350000,1350000
2015,Public Protection,Probation Department,Probation Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-9388495,-9388495
2014,Public Protection,Probation Department,Probation Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-8643934,-8276898
2013,Public Protection,Probation Department,Probation Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-685816,-685816
2015,Public Protection,Probation Department,Probation Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,88120,665904
2014,Public Protection,Probation Department,Probation Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,761475,832300
2013,Public Protection,Probation Department,Probation Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,816283,816283
2013,Public Protection,Probation Department,Probation Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1741798,1741798
2014,Public Protection,Probation Department,Probation Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1939926,1939926
2015,Public Protection,Probation Department,Probation Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2053699,2206888
2013,Public Protection,Probation Department,Probation Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,6101029,6101029
2014,Public Protection,Probation Department,Probation Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,6666902,6229041
2015,Public Protection,Probation Department,Probation Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,7817856,7240072
2014,Public Protection,Probation Department,Probation Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,173310,173310
2015,Public Protection,Probation Department,Probation Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,193962,196262
2013,Public Protection,Probation Department,Probation Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,351292,351292
2014,Public Protection,Probation Department,Probation Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1226425,1108924
2013,Public Protection,Probation Department,Probation Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1906082,1906082
2015,Public Protection,Probation Department,Probation Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2197676,1953965
2015,Public Protection,Probation Department,Probation Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3843062,4086773
2013,Public Protection,Probation Department,Probation Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3876719,3876719
2014,Public Protection,Probation Department,Probation Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,4013770,4131271
2013,Public Protection,Probation Department,Probation Juvenile Field Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-12000000,-12000000
2014,Public Protection,Probation Department,Probation Juvenile Field Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-9905100,-9905100
2015,Public Protection,Probation Department,Probation Juvenile Field Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-9905000,-9905000
2015,Public Protection,Probation Department,Probation Juvenile Field Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,36000,36000
2014,Public Protection,Probation Department,Probation Juvenile Field Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,36000,36000
2014,Public Protection,Probation Department,Probation Juvenile Field Services,Other Charges,Other Charges,Total of Other Charges,100000,100000
2015,Public Protection,Probation Department,Probation Juvenile Field Services,Other Charges,Other Charges,Total of Other Charges,325000,325000
2013,Public Protection,Probation Department,Probation Juvenile Field Services,Other Charges,Other Charges,Total of Other Charges,361594,361594
2013,Public Protection,Probation Department,Probation Juvenile Field Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1306396,1306396
2015,Public Protection,Probation Department,Probation Juvenile Field Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1322071,1340928
2014,Public Protection,Probation Department,Probation Juvenile Field Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1329581,1329581
2013,Public Protection,Probation Department,Probation Juvenile Field Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,13712307,13712320
2013,Public Protection,Probation Department,Probation Juvenile Field Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,15328719,15328706
2014,Public Protection,Probation Department,Probation Juvenile Field Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,15364490,16311228
2015,Public Protection,Probation Department,Probation Juvenile Field Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,15386041,15430210
2014,Public Protection,Probation Department,Probation Juvenile Field Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,15465627,14747265
2015,Public Protection,Probation Department,Probation Juvenile Field Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,16988678,16944509
2013,Public Protection,Probation Department,Probation Juvenile Institutions,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3656253,3656253
2014,Public Protection,Probation Department,Probation Juvenile Institutions,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5677786,5677786
2015,Public Protection,Probation Department,Probation Juvenile Institutions,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5691142,5868263
2013,Public Protection,Probation Department,Probation Juvenile Institutions,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5875958,5875958
2015,Public Protection,Probation Department,Probation Juvenile Institutions,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6236587,6501696
2014,Public Protection,Probation Department,Probation Juvenile Institutions,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,7726767,7474368
2013,Public Protection,Probation Department,Probation Juvenile Institutions,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,32152753,32152753
2014,Public Protection,Probation Department,Probation Juvenile Institutions,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,33060588,33183061
2015,Public Protection,Probation Department,Probation Juvenile Institutions,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,35043432,34778323
2015,Public Protection,Probation Department,Probation Local Comm Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1700000,1700000
2014,Public Protection,Probation Department,Probation Local Comm Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3278866,3278866
2014,Public Protection,Probation Department,Probation Local Comm Realignment,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9500000,9500000
2015,Public Protection,Probation Department,Probation Local Comm Realignment,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9500000,9500000
2013,Public Protection,Probation Department,Probation-Adult,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1180532,1180532
2014,Public Protection,Probation Department,Probation-Adult,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1219212,1249331
2015,Public Protection,Probation Department,Probation-Adult,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1238362,1250927
2013,Public Protection,Probation Department,Probation-Adult,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3583976,3583976
2014,Public Protection,Probation Department,Probation-Adult,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4263153,5459346
2015,Public Protection,Probation Department,Probation-Adult,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5205145,6019256
2014,Public Protection,Probation Department,Probation-Adult,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,8566140,18265079
2013,Public Protection,Probation Department,Probation-Adult,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,16461219,16461219
2015,Public Protection,Probation Department,Probation-Adult,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,21761740,20947629
2013,Public Protection,Public Defender,Contract Service-Indigent Defense,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,19762,19762
2014,Public Protection,Public Defender,Contract Service-Indigent Defense,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,20265,20265
2015,Public Protection,Public Defender,Contract Service-Indigent Defense,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,20783,20783
2013,Public Protection,Public Defender,Contract Service-Indigent Defense,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6618650,6618650
2014,Public Protection,Public Defender,Contract Service-Indigent Defense,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6653050,6653050
2015,Public Protection,Public Defender,Contract Service-Indigent Defense,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6653050,6653050
2014,Public Protection,Public Defender,Public Defender,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1005100,-605100
2015,Public Protection,Public Defender,Public Defender,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1005100,-1005100
2013,Public Protection,Public Defender,Public Defender,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-200000,-200000
2013,Public Protection,Public Defender,Public Defender,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,700000,700000
2015,Public Protection,Public Defender,Public Defender,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,767121,963575
2014,Public Protection,Public Defender,Public Defender,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,963575,963575
2014,Public Protection,Public Defender,Public Defender,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3382464,3382464
2015,Public Protection,Public Defender,Public Defender,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3415225,3451698
2013,Public Protection,Public Defender,Public Defender,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3651291,3651291
2013,Public Protection,Public Defender,Public Defender,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,28128525,28128525
2014,Public Protection,Public Defender,Public Defender,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,29118448,28421740
2015,Public Protection,Public Defender,Public Defender,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,31333726,30897159
2015,Public Protection,Sheriff's Office,Countywide - Fish & Game,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6000,6000
2013,Public Protection,Sheriff's Office,Countywide - Fish & Game,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6000,6000
2014,Public Protection,Sheriff's Office,Countywide - Fish & Game,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6000,6000
2015,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-4545813,-4545813
2014,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-4395018,-4395018
2013,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-4242425,-4242425
2015,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Fixed Assets,Fixed Assets,Total of Fixed Assets,10000,10000
2014,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Fixed Assets,Fixed Assets,Total of Fixed Assets,40200,40200
2013,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Fixed Assets,Fixed Assets,Total of Fixed Assets,65000,65000
2014,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,173089,173089
2015,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,173089,173089
2013,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,211161,211161
2014,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,225610,225610
2013,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,228479,228479
2015,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,232515,235074
2013,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3744620,3744620
2014,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3829066,3829066
2015,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3946929,3946929
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-10000,-10000
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-10000,-10000
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-10000,-10000
2015,Public Protection,Sheriff's Office,Court Security Realignment,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,102485,114461
2014,Public Protection,Sheriff's Office,Court Security Realignment,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,438188,438188
2015,Public Protection,Sheriff's Office,Court Security Realignment,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1265146,1265146
2014,Public Protection,Sheriff's Office,Court Security Realignment,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1762725,2762725
2014,Public Protection,Sheriff's Office,Court Security Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,20158744,20158744
2015,Public Protection,Sheriff's Office,Court Security Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,20980050,20980050
2013,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Fixed Assets,Fixed Assets,Total of Fixed Assets,7500,7500
2014,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Fixed Assets,Fixed Assets,Total of Fixed Assets,7500,7500
2015,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Fixed Assets,Fixed Assets,Total of Fixed Assets,100500,100500
2014,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,160000,160000
2013,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,160000,160000
2015,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,160322,160322
2013,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,29791423,29791423
2014,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,30422470,30422470
2015,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,31823072,31823072
2013,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Fixed Assets,Fixed Assets,Total of Fixed Assets,182500,182500
2014,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Fixed Assets,Fixed Assets,Total of Fixed Assets,343500,343500
2013,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,416638,416638
2015,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Fixed Assets,Fixed Assets,Total of Fixed Assets,695000,695000
2014,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,10765794,10781874
2013,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,10781874,10793236
2015,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,11986865,11986865
2013,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,26022634,26022634
2015,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,26059900,26456168
2014,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,26594782,26587107
2013,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,102814470,102803108
2014,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,113834241,107852961
